"CIK","Uri","AccessionNumber","FileName","OutFile","FilingDate","ReportDate","AcceptanceDateTime","Act","Form","FileNumber","FilmNumber","Items","Core_type","Size","IsXBRL","IsInlineXBRL","PrimaryDocument","PrimaryDocDescription"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297120000282/0000072971-20-000282.txt","0000072971-20-000282","0000072971-20-000282.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297120000282/0000072971-20-000282.txt","2020-07-21","2020-07-17","7/21/2020 9:29:58 PM","34","8-K","001-02979","201039615","5.02,9.01","XBRL","2479507","1","1","wfc07-21x20form8xk.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120006523/0001387131-20-006523.txt","0001387131-20-006523","0001387131-20-006523.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120006523/0001387131-20-006523.txt","2020-07-20","2020-07-20","7/20/2020 3:01:29 PM","34","8-K","001-02979","201035690","9.01","XBRL","1157410","1","1","wfc-8k_072020.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120006473/0001387131-20-006473.txt","0001387131-20-006473","0001387131-20-006473.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120006473/0001387131-20-006473.txt","2020-07-17","2020-07-17","7/17/2020 10:01:25 AM","34","8-K","001-02979","201032701","9.01","XBRL","1089052","1","1","wfc-8k_071720.htm","CURRENT REPORT"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085820000034/0000070858-20-000034.txt","0000070858-20-000034","0000070858-20-000034.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085820000034/0000070858-20-000034.txt","2020-07-16","2020-07-16","7/16/2020 10:45:55 AM","34","8-K","001-06523","201030732","2.02,7.01,9.01","XBRL","19117927","1","1","bac-063020208xk.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000100/0000713676-20-000100.txt","0000713676-20-000100","0000713676-20-000100.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000100/0000713676-20-000100.txt","2020-07-15","2020-07-15","7/15/2020 5:17:09 PM","34","8-K","001-09718","201028917","2.02,8.01,9.01","XBRL","7106244","1","1","q220208-kfs.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000096/0000713676-20-000096.txt","0000713676-20-000096","0000713676-20-000096.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000096/0000713676-20-000096.txt","2020-07-15","2020-07-15","7/15/2020 11:05:06 AM","34","8-K","001-09718","201028251","2.02,9.01","XBRL","1323009","1","1","q220208-kfh.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312520192926/0001193125-20-192926.txt","0001193125-20-192926","0001193125-20-192926.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312520192926/0001193125-20-192926.txt","2020-07-15","2020-07-15","7/15/2020 10:51:12 AM","34","8-K","001-06880","201028247","2.02,9.01","XBRL","11666236","1","1","d939993d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297120000280/0000072971-20-000280.txt","0000072971-20-000280","0000072971-20-000280.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297120000280/0000072971-20-000280.txt","2020-07-14","2020-07-14","7/14/2020 11:46:06 AM","34","8-K","001-02979","201026331","2.02,9.01","XBRL","13426201","1","1","wfc2qer07-14x20form8xk.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120006079/0001387131-20-006079.txt","0001387131-20-006079","0001387131-20-006079.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120006079/0001387131-20-006079.txt","2020-06-30","2020-06-30","6/30/2020 7:32:00 PM","34","8-K","001-02979","201002199","9.01","XBRL","854507","1","1","wfc-8k_063020.htm","CURRENT REPORT"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312520183525/0001193125-20-183525.txt","0001193125-20-183525","0001193125-20-183525.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312520183525/0001193125-20-183525.txt","2020-06-30","2020-06-29","6/30/2020 2:14:03 PM","34","8-K","001-06880","201000861","8.01,9.01","XBRL","250901","1","1","d944775d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297120000276/0000072971-20-000276.txt","0000072971-20-000276","0000072971-20-000276.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297120000276/0000072971-20-000276.txt","2020-06-29","2020-06-29","6/29/2020 10:16:44 PM","34","8-K","001-02979","20998261","8.01,9.01","XBRL","914942","1","1","wfc06-29x20form8xk.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120005736/0001387131-20-005736.txt","0001387131-20-005736","0001387131-20-005736.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120005736/0001387131-20-005736.txt","2020-06-17","2020-06-17","6/17/2020 7:12:48 PM","34","8-K","001-02979","20969543","9.01","XBRL","1241061","1","1","wfc-8k_061720.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120005640/0001387131-20-005640.txt","0001387131-20-005640","0001387131-20-005640.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120005640/0001387131-20-005640.txt","2020-06-12","2020-06-12","6/12/2020 7:04:43 PM","34","8-K","001-02979","20959966","9.01","XBRL","502861","1","1","wfc-8k_061220.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120005492/0001387131-20-005492.txt","0001387131-20-005492","0001387131-20-005492.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120005492/0001387131-20-005492.txt","2020-06-05","2020-06-05","6/5/2020 7:06:52 PM","34","8-K","001-02979","20945915","9.01","XBRL","503552","1","1","wfc-8k_060520.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312520158420/0001193125-20-158420.txt","0001193125-20-158420","0001193125-20-158420.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312520158420/0001193125-20-158420.txt","2020-06-02","2020-06-02","6/2/2020 7:37:21 PM","34","8-K","001-02979","20936836","9.01","XBRL","572043","1","1","d904807d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120005426/0001387131-20-005426.txt","0001387131-20-005426","0001387131-20-005426.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120005426/0001387131-20-005426.txt","2020-06-02","2020-06-02","6/2/2020 7:04:57 PM","34","8-K","001-02979","20936728","9.01","XBRL","660082","1","1","wfc-8k_060220.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120005135/0001387131-20-005135.txt","0001387131-20-005135","0001387131-20-005135.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120005135/0001387131-20-005135.txt","2020-05-22","2020-05-22","5/22/2020 7:02:25 PM","34","8-K","001-02979","20905436","9.01","XBRL","799089","1","1","wfc-8k_052220.htm","CURRENT REPORT"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000092/0000713676-20-000092.txt","0000713676-20-000092","0000713676-20-000092.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000092/0000713676-20-000092.txt","2020-05-21","2020-05-15","5/21/2020 8:17:45 PM","34","8-K","001-09718","20902079","2.01,9.01","XBRL","1426522","1","1","a8-k521proforma.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120004941/0001387131-20-004941.txt","0001387131-20-004941","0001387131-20-004941.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120004941/0001387131-20-004941.txt","2020-05-18","2020-05-18","5/18/2020 7:10:12 PM","34","8-K","001-02979","20889133","9.01","XBRL","496802","1","1","wfc-8k_051820.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120004894/0001387131-20-004894.txt","0001387131-20-004894","0001387131-20-004894.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120004894/0001387131-20-004894.txt","2020-05-15","2020-05-15","5/15/2020 7:07:41 PM","34","8-K","001-02979","20884307","9.01","XBRL","901475","1","1","wfc-8k_051520.htm","CURRENT REPORT"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000089/0000713676-20-000089.txt","0000713676-20-000089","0000713676-20-000089.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000089/0000713676-20-000089.txt","2020-05-15","2020-05-11","5/15/2020 6:49:52 PM","34","8-K","001-09718","20884153","1.01,8.01,9.01","XBRL","973917","1","1","a8-k515blackrock.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312520136359/0001193125-20-136359.txt","0001193125-20-136359","0001193125-20-136359.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312520136359/0001193125-20-136359.txt","2020-05-07","2020-03-31","5/7/2020 8:40:41 PM","34","10-Q","001-06880","20857121","","XBRL","24218707","1","1","d897119d10q.htm","10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297120000236/0000072971-20-000236.txt","0000072971-20-000236","0000072971-20-000236.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297120000236/0000072971-20-000236.txt","2020-05-05","2020-03-31","5/5/2020 7:25:29 PM","34","10-Q","001-02979","20848590","","XBRL","78349867","1","1","wfc-0331x2020x10q.htm","10-Q"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000078/0000713676-20-000078.txt","0000713676-20-000078","0000713676-20-000078.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000078/0000713676-20-000078.txt","2020-05-05","2020-03-31","5/5/2020 3:56:20 PM","34","10-Q","001-09718","20847765","","XBRL","34663065","1","1","pncq1202010-q.htm","10-Q"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085820000023/0000070858-20-000023.txt","0000070858-20-000023","0000070858-20-000023.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085820000023/0000070858-20-000023.txt","2020-05-01","2020-03-31","5/1/2020 8:56:46 PM","34","10-Q","001-06523","20841605","","XBRL","50922767","1","1","bac-0331202010xq.htm","10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312520130322/0001193125-20-130322.txt","0001193125-20-130322","0001193125-20-130322.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312520130322/0001193125-20-130322.txt","2020-05-01","2020-05-01","5/1/2020 5:01:23 PM","34","8-K","001-02979","20839716","9.01","XBRL","786447","1","1","d895807d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312520130104/0001193125-20-130104.txt","0001193125-20-130104","0001193125-20-130104.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312520130104/0001193125-20-130104.txt","2020-05-01","2020-04-28","5/1/2020 3:11:54 PM","34","8-K","001-02979","20839165","5.07","XBRL","364665","1","1","d898690d8k.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000074/0000713676-20-000074.txt","0000713676-20-000074","0000713676-20-000074.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000074/0000713676-20-000074.txt","2020-05-01","2020-04-28","5/1/2020 12:31:34 PM","34","8-K","001-09718","20838514","5.02,5.07","XBRL","293010","1","1","a2020annualmeeting8-k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312520128742/0001193125-20-128742.txt","0001193125-20-128742","0001193125-20-128742.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312520128742/0001193125-20-128742.txt","2020-04-30","2020-04-30","4/30/2020 8:01:24 PM","34","8-K","001-02979","20835553","9.01","XBRL","621248","1","1","d923359d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120004301/0001387131-20-004301.txt","0001387131-20-004301","0001387131-20-004301.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120004301/0001387131-20-004301.txt","2020-04-30","2020-04-30","4/30/2020 7:05:04 PM","34","8-K","001-02979","20835153","9.01","XBRL","813385","1","1","wfc-8k_043020.htm","CURRENT REPORT"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085820000020/0000070858-20-000020.txt","0000070858-20-000020","0000070858-20-000020.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085820000020/0000070858-20-000020.txt","2020-04-23","2020-04-22","4/23/2020 8:44:50 PM","34","8-K","001-06523","20811571","5.07","XBRL","474652","1","1","bac-042220208xkvotingr.htm","8-K"
