"CIK","Uri","AccessionNumber","FileName","OutFile","FilingDate","ReportDate","AcceptanceDateTime","Act","Form","FileNumber","FilmNumber","Items","Core_type","Size","IsXBRL","IsInlineXBRL","PrimaryDocument","PrimaryDocDescription"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509074442/0001193125-09-074442.txt","0001193125-09-074442","0001193125-09-074442.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509074442/0001193125-09-074442.txt","2009-04-07","2009-04-07","4/7/2009 4:46:21 PM","34","8-K","001-02979","09736995","9.01","8-K","90680","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509072390/0001193125-09-072390.txt","0001193125-09-072390","0001193125-09-072390.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509072390/0001193125-09-072390.txt","2009-04-03","2009-03-30","4/3/2009 4:20:04 PM","34","8-K","001-09718","09730939","8.01,9.01","8-K","292576","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509067285/0001193125-09-067285.txt","0001193125-09-067285","0001193125-09-067285.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509067285/0001193125-09-067285.txt","2009-03-30","2009-03-30","3/30/2009 5:22:39 PM","34","8-K","001-02979","09713230","9.01","8-K","144121","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509058606/0001193125-09-058606.txt","0001193125-09-058606","0001193125-09-058606.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509058606/0001193125-09-058606.txt","2009-03-19","","3/19/2009 7:53:21 PM","34","DEFA14A","001-09718","09693475","","DEFA14A","596031","0","0","ddefa14a.htm","ADDITIONAL MATERIAL TO THE 2009 NOTICE & PROXY STATEMENT"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509058594/0001193125-09-058594.txt","0001193125-09-058594","0001193125-09-058594.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509058594/0001193125-09-058594.txt","2009-03-19","2009-04-28","3/19/2009 7:46:57 PM","34","DEF 14A","001-09718","09693447","","DEF 14A","2554748","0","0","ddef14a.htm","NOTICE & PROXY STATEMENT"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095013709002003/0000950137-09-002003.txt","0000950137-09-002003","0000950137-09-002003.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095013709002003/0000950137-09-002003.txt","2009-03-18","2009-04-21","3/18/2009 8:39:21 PM","34","DEF 14A","001-06880","09691349","","DEF 14A","1181532","0","0","c49003ddef14a.htm","DEF 14A"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509057665/0001193125-09-057665.txt","0001193125-09-057665","0001193125-09-057665.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509057665/0001193125-09-057665.txt","2009-03-18","2009-04-28","3/18/2009 8:04:24 PM","34","DEF 14A","001-02979","09691081","","DEF 14A","2489964","0","0","ddef14a.htm","DEFINITIVE PROXY STATEMENT"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095013709001845/0000950137-09-001845.txt","0000950137-09-001845","0000950137-09-001845.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095013709001845/0000950137-09-001845.txt","2009-03-13","2009-03-13","3/13/2009 9:27:35 PM","34","8-K","001-06880","09681318","8.01,9.01","8-K","322110","0","0","c50074e8vk.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509052235/0001193125-09-052235.txt","0001193125-09-052235","0001193125-09-052235.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509052235/0001193125-09-052235.txt","2009-03-12","2009-03-12","3/12/2009 8:24:01 PM","34","8-K","001-09718","09676024","2.02,9.01","8-K","66480","0","0","d8k.htm","FORM 8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095013709001610/0000950137-09-001610.txt","0000950137-09-001610","0000950137-09-001610.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095013709001610/0000950137-09-001610.txt","2009-03-06","2009-03-02","3/6/2009 9:56:06 PM","34","8-K","001-06880","09663615","5.02,9.01","8-K","97173","0","0","c49865e8vk.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509046787/0001193125-09-046787.txt","0001193125-09-046787","0001193125-09-046787.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509046787/0001193125-09-046787.txt","2009-03-06","2009-03-06","3/6/2009 1:11:08 PM","34","8-K","001-02979","09660517","8.01,9.01","8-K","60688","0","0","d8k.htm","FORM 8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095015209002147/0000950152-09-002147.txt","0000950152-09-002147","0000950152-09-002147.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095015209002147/0000950152-09-002147.txt","2009-03-04","2009-03-04","3/4/2009 2:13:35 PM","34","8-K","001-06880","09653934","8.01,9.01","8-K","564150","0","0","c49788e8vk.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509043396/0001193125-09-043396.txt","0001193125-09-043396","0001193125-09-043396.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509043396/0001193125-09-043396.txt","2009-03-03","2009-03-02","3/3/2009 5:45:18 PM","34","8-K","001-09718","09650416","2.02,8.01,9.01","8-K","2174720","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509042518/0001193125-09-042518.txt","0001193125-09-042518","0001193125-09-042518.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509042518/0001193125-09-042518.txt","2009-03-02","2008-12-31","3/2/2009 9:04:51 PM","34","10-K","001-09718","09647498","","10-K","5796459","0","0","d10k.htm","FORM 10-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095015209002057/0000950152-09-002057.txt","0000950152-09-002057","0000950152-09-002057.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095015209002057/0000950152-09-002057.txt","2009-03-02","2008-12-31","3/2/2009 8:28:35 PM","34","10-K","001-06880","09647191","","10-K","5567289","0","0","c48687e10vk.htm","FORM 10-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000095013409003967/0000950134-09-003967.txt","0000950134-09-003967","0000950134-09-003967.txt","./www.sec.gov/Archives/edgar/data/0000072971/000095013409003967/0000950134-09-003967.txt","2009-02-27","2008-12-31","2/27/2009 5:49:20 PM","34","10-K","001-02979","09641092","","10-K","3790805","0","0","f51597e10vk.htm","FORM 10-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509039562/0001193125-09-039562.txt","0001193125-09-039562","0001193125-09-039562.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509039562/0001193125-09-039562.txt","2009-02-27","2009-02-24","2/27/2009 2:42:23 AM","34","8-K","001-02979","09639542","5.02,9.01","8-K","36871","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509033157/0001193125-09-033157.txt","0001193125-09-033157","0001193125-09-033157.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509033157/0001193125-09-033157.txt","2009-02-19","2009-02-12","2/19/2009 10:02:38 PM","34","8-K","001-09718","09622301","5.03,9.01","8-K","170409","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509029453/0001193125-09-029453.txt","0001193125-09-029453","0001193125-09-029453.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509029453/0001193125-09-029453.txt","2009-02-13","2009-02-13","2/13/2009 10:27:03 PM","34","8-K","001-09718","09605501","5.02","8-K","68209","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509027231/0001193125-09-027231.txt","0001193125-09-027231","0001193125-09-027231.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509027231/0001193125-09-027231.txt","2009-02-12","2009-02-12","2/12/2009 9:44:16 PM","34","8-K","001-02979","09595528","2.02","8-K","13063","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509017184/0001193125-09-017184.txt","0001193125-09-017184","0001193125-09-017184.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509017184/0001193125-09-017184.txt","2009-02-03","2009-02-03","2/3/2009 4:38:58 PM","34","8-K","001-09718","09563621","2.02,9.01","8-K","2855783","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509017001/0001193125-09-017001.txt","0001193125-09-017001","0001193125-09-017001.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509017001/0001193125-09-017001.txt","2009-02-03","2009-02-03","2/3/2009 1:35:35 PM","34","8-K","001-09718","09563079","2.02,9.01","8-K","367080","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000095013409001225/0000950134-09-001225.txt","0000950134-09-001225","0000950134-09-001225.txt","./www.sec.gov/Archives/edgar/data/0000072971/000095013409001225/0000950134-09-001225.txt","2009-01-28","2009-01-28","1/28/2009 1:02:27 PM","34","8-K","001-02979","09549733","2.02,7.01,9.01","8-K","6269912","0","0","f51258e8vk.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509009381/0001193125-09-009381.txt","0001193125-09-009381","0001193125-09-009381.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509009381/0001193125-09-009381.txt","2009-01-22","2009-01-21","1/22/2009 1:50:07 PM","34","8-K","001-09718","09537989","2.02,9.01","8-K","82000","0","0","d8k.htm","FORM 8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095015209000430/0000950152-09-000430.txt","0000950152-09-000430","0000950152-09-000430.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095015209000430/0000950152-09-000430.txt","2009-01-21","2009-01-21","1/21/2009 1:38:07 PM","34","8-K","001-06880","09535791","2.02,9.01","8-K","411999","0","0","c48828e8vk.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000089882209000021/0000898822-09-000021.txt","0000898822-09-000021","0000898822-09-000021.txt","./www.sec.gov/Archives/edgar/data/0000072971/000089882209000021/0000898822-09-000021.txt","2009-01-13","2009-01-12","1/13/2009 7:49:22 PM","34","8-K","001-02979","09523727","5.03,9.01","8-K","26511","0","0","eightkseriesm.htm",""
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095012309000174/0000950123-09-000174.txt","0000950123-09-000174","0000950123-09-000174.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095012309000174/0000950123-09-000174.txt","2009-01-07","2008-12-31","1/7/2009 12:03:37 PM","34","8-K","001-06880","09511908","5.02,9.01","8-K","425576","0","0","c48479e8vk.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000095012309000024/0000950123-09-000024.txt","0000950123-09-000024","0000950123-09-000024.txt","./www.sec.gov/Archives/edgar/data/0000713676/000095012309000024/0000950123-09-000024.txt","2009-01-02","2008-12-26","1/2/2009 7:39:52 PM","34","8-K","001-09718","09501246","1.01,3.02,3.03,5.02,5.03,9.01","8-K","412830","0","0","y73625e8vk.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000089882208001315/0000898822-08-001315.txt","0000898822-08-001315","0000898822-08-001315.txt","./www.sec.gov/Archives/edgar/data/0000072971/000089882208001315/0000898822-08-001315.txt","2008-12-30","2008-12-30","12/30/2008 8:43:43 PM","34","8-K","001-02979","081275821","5.03","8-K","481269","0","0","body8k.htm",""
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312508261774/0001193125-08-261774.txt","0001193125-08-261774","0001193125-08-261774.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312508261774/0001193125-08-261774.txt","2008-12-30","2008-12-26","12/30/2008 7:46:05 PM","34","8-K","001-09718","081275459","1.01,9.01","8-K","30093","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312508259734/0001193125-08-259734.txt","0001193125-08-259734","0001193125-08-259734.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312508259734/0001193125-08-259734.txt","2008-12-24","2008-12-16","12/23/2008 11:01:46 PM","34","8-K","001-09718","081268467","8.01,9.01","8-K","523415","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000089882208001296/0000898822-08-001296.txt","0000898822-08-001296","0000898822-08-001296.txt","./www.sec.gov/Archives/edgar/data/0000072971/000089882208001296/0000898822-08-001296.txt","2008-12-23","2008-12-23","12/23/2008 9:33:42 PM","34","8-K","001-02979","081267759","5.02,8.01,9.01","8-K","58414","0","0","body8k.htm",""
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312508259178/0001193125-08-259178.txt","0001193125-08-259178","0001193125-08-259178.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312508259178/0001193125-08-259178.txt","2008-12-23","2008-12-23","12/23/2008 4:59:33 PM","34","8-K","001-09718","081266245","8.01","8-K","1029427","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000089882208001229/0000898822-08-001229.txt","0000898822-08-001229","0000898822-08-001229.txt","./www.sec.gov/Archives/edgar/data/0000072971/000089882208001229/0000898822-08-001229.txt","2008-12-11","2008-12-11","12/11/2008 7:40:57 PM","34","8-K","001-02979","081243268","8.01,9.01","8-K","244486","0","0","dec108k.htm",""
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095013408022007/0000950134-08-022007.txt","0000950134-08-022007","0000950134-08-022007.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095013408022007/0000950134-08-022007.txt","2008-12-11","2008-12-11","12/11/2008 1:06:51 PM","34","8-K","001-06880","081242369","7.01,9.01","8-K","993724","0","0","c48187e8vk.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312508251103/0001193125-08-251103.txt","0001193125-08-251103","0001193125-08-251103.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312508251103/0001193125-08-251103.txt","2008-12-10","2008-12-10","12/10/2008 5:55:31 PM","34","8-K","001-02979","081240428","8.01,9.01","8-K","309494","0","0","d8k.htm","FORM 8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000129993308005772/0001299933-08-005772.txt","0001299933-08-005772","0001299933-08-005772.txt","./www.sec.gov/Archives/edgar/data/0000036104/000129993308005772/0001299933-08-005772.txt","2008-12-09","2008-12-08","12/9/2008 10:17:15 PM","34","8-K","001-06880","081239145","1.02,3.03,5.03,8.01,9.01","8-K","34674","0","0","htm_30312.htm","LIVE FILING"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312508246272/0001193125-08-246272.txt","0001193125-08-246272","0001193125-08-246272.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312508246272/0001193125-08-246272.txt","2008-12-02","2008-12-02","12/2/2008 2:04:36 PM","34","8-K","001-09718","081223882","8.01,9.01","8-K","4084382","0","0","d8k.htm","CURRENT REPORT"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095013708014099/0000950137-08-014099.txt","0000950137-08-014099","0000950137-08-014099.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095013708014099/0000950137-08-014099.txt","2008-11-26","2008-11-21","11/26/2008 8:39:27 PM","34","8-K","001-06880","081217847","8.01","8-K","870608","0","0","c47943e8vk.htm","FORM 8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095013708013730/0000950137-08-013730.txt","0000950137-08-013730","0000950137-08-013730.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095013708013730/0000950137-08-013730.txt","2008-11-14","2008-11-13","11/14/2008 9:44:26 PM","34","8-K","001-06880","081192244","1.01,3.02,3.03,5.02,5.03,9.01","8-K","363491","0","0","c47644e8vk.htm","FORM 8-K"
